campaign |campaigns |campaign,2014100416,8535,8,9.373169302870533E-4
campaign |campaigns |campaign,2014100511,8203,3,3.6571985858832134E-4
campaign |campaigns |campaign,2014100415,9288,7,7.536606373815676E-4
campaign |campaigns |campaign,2014100510,7389,2,2.706726214643389E-4
campaign |campaigns |campaign,2014100418,8794,14,0.0015919945417329998
campaign |campaigns |campaign,2014100513,8653,6,6.934011325551831E-4
campaign |campaigns |campaign,2014100417,9001,19,0.002110876569270081
campaign |campaigns |campaign,2014100512,7658,5,6.529119874640898E-4
campaign |campaigns |campaign,2014100908,14247,8,5.615217238716922E-4
campaign |campaigns |campaign,2014100907,7751,5,6.450780544445878E-4
campaign |campaigns |campaign,2014100419,8630,6,6.952491309385864E-4
campaign |campaigns |campaign,2014100909,1000,1,0.001
campaign |campaigns |campaign,2014100721,11447,7,6.115139337817769E-4
campaign |campaigns |campaign,2014100722,8294,7,8.439836026042923E-4
campaign |campaigns |campaign,2014100720,10198,24,0.002353402627966268
campaign |campaigns |campaign,2014100723,5300,5,9.433962264150943E-4
campaign |campaigns |campaign,2014100520,14801,3,2.0268900749949328E-4
campaign |campaigns |campaign,2014100523,12605,11,8.726695755652519E-4
campaign |campaigns |campaign,2014100522,10915,7,6.41319285387082E-4
campaign |campaigns |campaign,2014100521,14363,3,2.0887001322843416E-4
campaign |campaigns |campaign,2014100623,8800,6,6.818181818181819E-4
campaign |campaigns |campaign,2014100622,9000,12,0.0013333333333333333
campaign |campaigns |campaign,2014100621,9007,10,0.001110247585211502
campaign |campaigns |campaign,2014100620,8998,7,7.77950655701267E-4
campaign |campaigns |campaign,2014093011,9741,24,0.0024638127502309825
campaign |campaigns |campaign,2014093012,11191,14,0.0012510052720936468
campaign |campaigns |campaign,2014093013,5267,3,5.69584203531422E-4
campaign |campaigns |campaign,2014093017,3899,6,0.001538856116953065
campaign |campaigns |campaign,2014093018,99,1,0.010101010101010102
campaign |campaigns |campaign,2014093019,8564,23,0.002685660906118636
