thursday |Thursday,2014100522,10915,3,2.7485112230874945E-4
thursday |Thursday,2014100521,14363,3,2.0887001322843416E-4
thursday |Thursday,2014100623,8800,4,4.5454545454545455E-4
thursday |Thursday,2014100622,9000,5,5.555555555555556E-4
thursday |Thursday,2014100621,9007,2,2.2204951704230043E-4
thursday |Thursday,2014100620,8998,5,5.556790397866192E-4
thursday |Thursday,2014093011,9741,13,0.0013345652397084489
thursday |Thursday,2014093012,11191,9,8.042176749173443E-4
thursday |Thursday,2014093013,5267,9,0.0017087526105942661
thursday |Thursday,2014093017,3899,3,7.694280584765325E-4
thursday |Thursday,2014093018,99,0,0.0
thursday |Thursday,2014093019,8564,8,9.341429238673517E-4
