friday |Friday,2014100520,14801,10,6.756300249983109E-4
friday |Friday,2014100523,12605,7,5.553351844506148E-4
friday |Friday,2014100522,10915,12,0.0010994044892349978
friday |Friday,2014100521,14363,13,9.051033906565481E-4
friday |Friday,2014100623,8800,2,2.2727272727272727E-4
friday |Friday,2014100622,9000,16,0.0017777777777777779
friday |Friday,2014100621,9007,9,9.99222826690352E-4
friday |Friday,2014100620,8998,8,8.890864636585908E-4
friday |Friday,2014093011,9741,9,9.239297813366184E-4
friday |Friday,2014093012,11191,16,0.0014297203109641676
friday |Friday,2014093013,5267,3,5.69584203531422E-4
friday |Friday,2014093017,3899,5,0.0012823800974608873
friday |Friday,2014093018,99,1,0.010101010101010102
friday |Friday,2014093019,8564,12,0.0014012143858010276
