prime minister |Prime Minister |prime minister,2014100522,10915,13,0.0011910215300045808
prime minister |Prime Minister |prime minister,2014100521,14363,5,3.4811668871405696E-4
prime minister |Prime Minister |prime minister,2014100623,8800,2,2.2727272727272727E-4
prime minister |Prime Minister |prime minister,2014100622,9000,2,2.2222222222222223E-4
prime minister |Prime Minister |prime minister,2014100621,9007,3,3.3307427556345063E-4
prime minister |Prime Minister |prime minister,2014100620,8998,3,3.3340742387197157E-4
prime minister |Prime Minister |prime minister,2014093011,9741,0,0.0
prime minister |Prime Minister |prime minister,2014093012,11191,0,0.0
prime minister |Prime Minister |prime minister,2014093013,5267,0,0.0
prime minister |Prime Minister |prime minister,2014093017,3899,0,0.0
prime minister |Prime Minister |prime minister,2014093018,99,0,0.0
prime minister |Prime Minister |prime minister,2014093019,8564,0,0.0
