nrl grand final |NRL Grand Final |NRL grand final,2014100807,6298,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100519,13547,20,0.0014763416254521297
nrl grand final |NRL Grand Final |NRL grand final,2014100809,5933,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100518,12589,7,5.560409881642704E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100808,7916,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100410,8297,8,9.642039291310112E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100412,8252,2,2.423654871546292E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100515,6526,9,0.0013790989886607416
nrl grand final |NRL Grand Final |NRL grand final,2014100411,8736,2,2.2893772893772894E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100514,7337,4,5.451819544773068E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100414,8029,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100517,16635,5,3.0057108506161706E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100413,7649,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100516,7164,1,1.3958682300390843E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100416,8535,2,2.3432923257176333E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100511,8203,1,1.2190661952944045E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100415,9288,1,1.0766580534022394E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100510,7389,4,5.413452429286778E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100418,8794,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100513,8653,2,2.3113371085172773E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100417,9001,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100512,7658,6,7.834943849569079E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100908,14247,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100907,7751,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100419,8630,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100909,1000,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100721,11447,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100722,8294,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100720,10198,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100723,5300,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100520,14801,7,4.7294101749881766E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100523,12605,5,3.966679888932963E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100522,10915,7,6.41319285387082E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100521,14363,31,0.0021583234700271532
nrl grand final |NRL Grand Final |NRL grand final,2014100623,8800,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100622,9000,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100621,9007,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100620,8998,2,2.222716159146477E-4
nrl grand final |NRL Grand Final |NRL grand final,2014093011,9741,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014093012,11191,1,8.935751943526048E-5
nrl grand final |NRL Grand Final |NRL grand final,2014093013,5267,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014093017,3899,1,2.5647601949217746E-4
nrl grand final |NRL Grand Final |NRL grand final,2014093018,99,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014093019,8564,0,0.0
