scheme |schemes |scheme,2014100520,14801,0,0.0
scheme |schemes |scheme,2014100523,12605,10,7.933359777865926E-4
scheme |schemes |scheme,2014100522,10915,0,0.0
scheme |schemes |scheme,2014100521,14363,0,0.0
scheme |schemes |scheme,2014100623,8800,1,1.1363636363636364E-4
scheme |schemes |scheme,2014100622,9000,4,4.4444444444444447E-4
scheme |schemes |scheme,2014100621,9007,3,3.3307427556345063E-4
scheme |schemes |scheme,2014100620,8998,0,0.0
scheme |schemes |scheme,2014093011,9741,0,0.0
scheme |schemes |scheme,2014093012,11191,2,1.7871503887052095E-4
scheme |schemes |scheme,2014093013,5267,1,1.8986140117714068E-4
scheme |schemes |scheme,2014093017,3899,1,2.5647601949217746E-4
scheme |schemes |scheme,2014093018,99,0,0.0
scheme |schemes |scheme,2014093019,8564,0,0.0
