trade |Trade |trade |trades,2014100515,6526,5,7.661661048115232E-4
trade |Trade |trade |trades,2014100411,8736,7,8.012820512820513E-4
trade |Trade |trade |trades,2014100514,7337,3,4.088864658579801E-4
trade |Trade |trade |trades,2014100414,8029,7,8.718395815170009E-4
trade |Trade |trade |trades,2014100517,16635,5,3.0057108506161706E-4
trade |Trade |trade |trades,2014100413,7649,5,6.536802196365538E-4
trade |Trade |trade |trades,2014100516,7164,8,0.0011166945840312675
trade |Trade |trade |trades,2014100416,8535,3,3.51493848857645E-4
trade |Trade |trade |trades,2014100511,8203,3,3.6571985858832134E-4
trade |Trade |trade |trades,2014100415,9288,4,4.306632213608958E-4
trade |Trade |trade |trades,2014100510,7389,3,4.060089321965083E-4
trade |Trade |trade |trades,2014100418,8794,2,2.2742779167614282E-4
trade |Trade |trade |trades,2014100513,8653,4,4.6226742170345545E-4
trade |Trade |trade |trades,2014100417,9001,4,4.4439506721475393E-4
trade |Trade |trade |trades,2014100512,7658,4,5.223295899712719E-4
trade |Trade |trade |trades,2014100908,14247,13,9.124728012915E-4
trade |Trade |trade |trades,2014100907,7751,5,6.450780544445878E-4
trade |Trade |trade |trades,2014100419,8630,3,3.476245654692932E-4
trade |Trade |trade |trades,2014100909,1000,3,0.003
trade |Trade |trade |trades,2014100721,11447,24,0.0020966192015375207
trade |Trade |trade |trades,2014100722,8294,56,0.006751868820834338
trade |Trade |trade |trades,2014100720,10198,34,0.003333987056285546
trade |Trade |trade |trades,2014100723,5300,6,0.0011320754716981133
trade |Trade |trade |trades,2014100520,14801,15,0.0010134450374974665
trade |Trade |trade |trades,2014100523,12605,1,7.933359777865926E-5
trade |Trade |trade |trades,2014100522,10915,2,1.832340815391663E-4
trade |Trade |trade |trades,2014100521,14363,3,2.0887001322843416E-4
trade |Trade |trade |trades,2014100623,8800,8,9.090909090909091E-4
trade |Trade |trade |trades,2014100622,9000,22,0.0024444444444444444
trade |Trade |trade |trades,2014100621,9007,23,0.002553569445986455
trade |Trade |trade |trades,2014100620,8998,11,0.0012224938875305623
trade |Trade |trade |trades,2014093011,9741,13,0.0013345652397084489
trade |Trade |trade |trades,2014093012,11191,16,0.0014297203109641676
trade |Trade |trade |trades,2014093013,5267,37,0.007024871843554205
trade |Trade |trade |trades,2014093017,3899,9,0.0023082841754295974
trade |Trade |trade |trades,2014093018,99,0,0.0
trade |Trade |trade |trades,2014093019,8564,14,0.0016347501167678655
